currency,majorCurrency,name,currencyType,scale,enabled,isMarginCurrency,memoRequired,asset,networks,assetID,maxWithdrawalAmount,minDepositAmount,minWithdrawalAmount
RLUSd,RLUSD,Ripple USD,Crypto,6,true,false,true,RLUSD,"[{""asset"":""xrp"",""depositEnabled"":true,""maxFee"":500000,""minFee"":500000,""tokenAddress"":""rMxCKbEDwqr76QuheSUMdEGf4B9xJ8m5De"",""withdrawalEnabled"":true,""withdrawalFee"":500000},{""asset"":""eth"",""depositEnabled"":true,""maxFee"":2000000,""minFee"":2000000,""tokenAddress"":""0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD"",""withdrawalEnabled"":true,""withdrawalFee"":2000000}]",3901101013,10000000000000,10000000,10000000
SUSHi,SUSHI,Sushi Token,Crypto,8,true,false,false,SUSHI,"[{""asset"":""eth"",""depositEnabled"":true,""maxFee"":500000000,""minFee"":500000000,""tokenAddress"":""0x6B3595068778DD592e39A122f4f5a5cF09C90fE2"",""withdrawalEnabled"":true,""withdrawalFee"":500000000}]",256982393,3000000000000000,300000000,300000000
ATOm,ATOM,Cosmos,Crypto,6,true,false,true,ATOM,"[{""asset"":""cosmos"",""depositEnabled"":true,""maxFee"":20000,""minFee"":20000,""withdrawalEnabled"":true,""withdrawalFee"":20000}]",1590038255,400000000000,40000,40000
UNi,UNI,Uniswap,Crypto,8,true,false,false,UNI,"[{""asset"":""eth"",""depositEnabled"":true,""maxFee"":50000000,""minFee"":50000000,""tokenAddress"":""0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984"",""withdrawalEnabled"":true,""withdrawalFee"":50000000}]",60509332,1000000000000000,100000000,100000000
AAVe,AAVE,Aave,Crypto,8,true,false,false,AAVE,"[{""asset"":""eth"",""depositEnabled"":true,""maxFee"":2000000,""minFee"":2000000,""tokenAddress"":""0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9"",""withdrawalEnabled"":true,""withdrawalFee"":2000000}]",3508327190,100000000000000,30000000,30000000
WBTc,WBTC,Wrapped BTC,Crypto,8,true,false,false,WBTC,"[{""asset"":""eth"",""depositEnabled"":false,""maxFee"":5000,""minFee"":5000,""tokenAddress"":""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599"",""withdrawalEnabled"":true,""withdrawalFee"":5000}]",441651165,100000000000,40000,40000
s,S,Sonic,Crypto,8,true,false,false,S,"[{""asset"":""sonic"",""depositEnabled"":true,""maxFee"":500000,""minFee"":500000,""withdrawalEnabled"":true,""withdrawalFee"":500000}]",152191653,1000000000000000,1000000000,1000000000
BONk,BONK,Bonk,Crypto,5,true,false,false,BONK,"[{""asset"":""sol"",""depositEnabled"":true,""maxFee"":6000000000,""minFee"":6000000000,""tokenAddress"":""DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263"",""withdrawalEnabled"":true,""withdrawalFee"":6000000000}]",1464088652,10000000000000000,10000000000,10000000000
LINk,LINK,Chainlink,Crypto,8,true,false,false,LINK,"[{""asset"":""eth"",""depositEnabled"":true,""maxFee"":25000000,""minFee"":25000000,""tokenAddress"":""0x514910771AF9Ca656af840dff83E8264EcF986CA"",""withdrawalEnabled"":true,""withdrawalFee"":25000000}]",3577696451,1000000000000000,100000000,100000000
XTz,XTZ,Tezos,Crypto,8,true,false,false,XTZ,"[{""asset"":""xtz"",""depositEnabled"":true,""maxFee"":10000000,""minFee"":10000000,""withdrawalEnabled"":true,""withdrawalFee"":10000000}]",1809360479,6700000000000000,67000000,67000000
XAUt,XAUT,Tether Gold,Crypto,6,true,false,false,XAUT,"[{""asset"":""eth"",""depositEnabled"":true,""maxFee"":500,""minFee"":500,""tokenAddress"":""0x68749665FF8D2d112Fa859AA293F07A622782F38"",""withdrawalEnabled"":true,""withdrawalFee"":500}]",2304880360,2500000000,2500,2500
MANa,MANA,Decentraland,Crypto,8,true,false,false,MANA,"[{""asset"":""eth"",""depositEnabled"":true,""maxFee"":1500000000,""minFee"":1500000000,""tokenAddress"":""0x0F5D2fB29fb7d3CFeE444a200298f468908cC942"",""withdrawalEnabled"":true,""withdrawalFee"":1500000000}]",4021619448,1000000000000000,1000000000,1000000000
HYPe,HYPE,Hyperliquid,Crypto,8,true,false,false,HYPE,"[{""asset"":""hyperevm"",""depositEnabled"":true,""maxFee"":3000,""minFee"":3000,""withdrawalEnabled"":true,""withdrawalFee"":3000}]",3701860919,30000000000000,30000000,30000000
GATa,GATA,Gata,Crypto,8,true,false,false,GATA,"[{""asset"":""bsc"",""depositEnabled"":false,""maxFee"":500000000,""minFee"":500000000,""tokenAddress"":""0x46Ee3BFC281d59009cCD06F1dD6aBDbfCd82FFC3"",""withdrawalEnabled"":false,""withdrawalFee"":500000000}]",740720962,50000000000000000,500000000,500000000
OKb,OKB,OKB,Crypto,8,true,false,false,OKB,"[{""asset"":""eth"",""depositEnabled"":false,""maxFee"":0,""minFee"":0,""tokenAddress"":""0x75231F58b43240C9718Dd58B4967c5114342a86c"",""withdrawalEnabled"":true,""withdrawalFee"":1}]",2661794240,100000000000000,65000000,65000000
DAi,DAI,Dai,Crypto,6,true,false,false,DAI,"[{""asset"":""eth"",""depositEnabled"":true,""maxFee"":2000000,""minFee"":2000000,""tokenAddress"":""0x6B175474E89094C44Da98b954EedeAC495271d0F"",""withdrawalEnabled"":true,""withdrawalFee"":2000000}]",1422029538,100000000000000,10000000,10000000
LAMp,SOL,Solana,Crypto,9,true,false,false,SOL,"[{""asset"":""sol"",""depositEnabled"":true,""maxFee"":1000000,""minFee"":1000000,""withdrawalEnabled"":true,""withdrawalFee"":1000000}]",3183463119,1000000000000000,10000000,20000000
APe,APE,ApeCoin,Crypto,8,true,false,false,APE,"[{""asset"":""eth"",""depositEnabled"":true,""maxFee"":600000000,""minFee"":600000000,""tokenAddress"":""0x4d224452801ACEd8B2F0aebE155379bb5D594381"",""withdrawalEnabled"":true,""withdrawalFee"":600000000}]",2976455673,1000000000000000,100000000,100000000
BNb,BNB,Binance Coin (BSC),Crypto,8,true,false,false,BNB,"[{""asset"":""bsc"",""depositEnabled"":true,""maxFee"":200000,""minFee"":200000,""withdrawalEnabled"":true,""withdrawalFee"":200000}]",2077542222,20000000000000,200000,200000
Gwei,ETH,Ethereum,Crypto,9,true,false,false,ETH,"[{""asset"":""bsc"",""depositEnabled"":false,""maxFee"":5,""minFee"":5,""tokenAddress"":""0x2170Ed0880ac9A755fd29B2688956BD959F933F8"",""withdrawalEnabled"":false,""withdrawalFee"":5},{""asset"":""eth"",""depositEnabled"":true,""maxFee"":500000,""minFee"":500000,""withdrawalEnabled"":true,""withdrawalFee"":500000},{""asset"":""optimism"",""depositEnabled"":true,""maxFee"":50000,""minFee"":50000,""withdrawalEnabled"":true,""withdrawalFee"":50000},{""asset"":""arbitrum"",""depositEnabled"":true,""maxFee"":50000,""minFee"":50000,""withdrawalEnabled"":true,""withdrawalFee"":50000},{""asset"":""base"",""depositEnabled"":true,""maxFee"":50000,""minFee"":50000,""withdrawalEnabled"":true,""withdrawalFee"":50000}]",982943839,100000000000000,500000,500000
fjUSDt,fjUSDT,fija USDT,Crypto,6,true,false,false,fjUSDT,"[{""asset"":""eth"",""depositEnabled"":true,""maxFee"":2000000,""minFee"":2000000,""tokenAddress"":""0x78B01Ff3Bc9d2393dBFc880e3e50eC6E39c5Fd56"",""withdrawalEnabled"":true,""withdrawalFee"":2000000}]",2343229844,10000000000000,10000000,10000000
BUSd,BUSD,Binance USD,Crypto,6,true,false,false,BUSD,"[{""asset"":""eth"",""depositEnabled"":false,""maxFee"":0,""minFee"":0,""tokenAddress"":""0x4Fabb145d64652a948d72533023f6E7A623C7C53"",""withdrawalEnabled"":true,""withdrawalFee"":1}]",3500999141,100000000000000,100000,100000
AXs,AXS,Axie Infinity Shard,Crypto,8,true,false,false,AXS,"[{""asset"":""eth"",""depositEnabled"":true,""maxFee"":100000000,""minFee"":100000000,""tokenAddress"":""0xBB0E17EF65F82Ab018d8EDd776e8DD940327B28b"",""withdrawalEnabled"":true,""withdrawalFee"":100000000}]",2920966306,200000000000000,20000000,20000000
ADa,ADA,Cardano,Crypto,8,true,false,false,ADA,"[{""asset"":""ada"",""depositEnabled"":true,""maxFee"":100000000,""minFee"":100000000,""withdrawalEnabled"":true,""withdrawalFee"":100000000}]",2063268560,20000000000000000,200000000,200000000
